번호,시도명,시군구명,동읍면,배출장소,배출장소유형,생활쓰레기배출방법,음식물쓰레기배출방법,재활용품배출방법,일시적다량폐기물배출방법,일시적다량폐기물배출장소,데이터기준일자
54,강원특별자치도,정선군,신동읍,의림로 267,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
55,강원특별자치도,정선군,신동읍,예미2길 53,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
56,강원특별자치도,정선군,신동읍,예미2길 33,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
57,강원특별자치도,정선군,신동읍,예미2길 26-17,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
58,강원특별자치도,정선군,신동읍,의림로 103,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
59,강원특별자치도,정선군,신동읍,천포안길 13,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
60,강원특별자치도,정선군,신동읍,천포안길 55,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
61,강원특별자치도,정선군,신동읍,천포안길 63,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
62,강원특별자치도,정선군,신동읍,함백로 46,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
63,강원특별자치도,정선군,신동읍,함백로 58,거점수거,규격봉투에 넣어 지정된 요일에 배출,물기를 최대한 줄여 음식물만 전용봉투에 넣어 배출,투명한 비닐봉투에 담거나 끈으로 묶어서 지정된 요일에 배출,5톤 미만의 일시작다량폐기물의 경우 정선군 매립장으로 운반하여 배출,정선군 매립장,2020-07-14
